STATE,COUNTY,LATITUDE,LONGITUDE,FIRE_SIZE,CAUSE_CODE,CAUSE_DESCR,DISCOVERY_DATE,DISCOVERY_TIME,CONT_DATE,CONT_TIME
KY,Perry,37.326111,-83.310833,180.0,13.0,Missing/Undefined,2454375.5,15,2454375.5,22
CO,Eagle,39.6814,-106.8703,0.1,1.0,Lightning,2453216.5,20,2453217.5,17
CA,YOLO,38.682233000000004,-122.065868,100.0,13.0,Missing/Undefined,2457232.5,1,2457232.5,2
FL,Levy,29.2985,-82.5519,1.0,1.0,Lightning,2457197.5,14,2457197.5,14
AL,Cleburne,33.908962,-85.436307,50.0,7.0,Arson,2453829.5,16,2453829.5,19
NY,ONONDAGA,43.01508154,-76.19235222,0.5,9.0,Miscellaneous,2451791.5,19,2451791.5,19
GA,Ware                ,31.121,-82.3375,2.27,5.0,Debris Burning,2448817.5,10,2448817.5,12
TN,29,35.83194444,-82.99055556,25.0,1.0,Lightning,2452471.5,20,2452472.5,18
MO,203,37.00194444,-91.25277778,6.32,7.0,Arson,2456103.5,13,2456103.5,16
WI,Marquette,43.89698,-89.47142,0.05,2.0,Equipment Use,2456745.5,15,2456745.5,17
GA,Jeff Davis          ,31.8239,-82.6792,10.6,7.0,Arson,2449416.5,14,2449416.5,15
CA,Los Angeles,34.4327,-118.420781,2.0,8.0,Children,2452323.5,14,2452323.5,14
OR,Baker,44.6475,-117.5533,0.1,1.0,Lightning,2457244.5,22,2457245.5,18
NV,31,39.25138889,-119.93527778,0.2,9.0,Miscellaneous,2452930.5,16,2452930.5,16
NY,YATES,42.5935,-77.0024,0.8,7.0,Arson,2456759.5,13,2456959.5,13
NJ,Atlantic,39.494186299999996,-74.73476740000001,0.25,8.0,Children,2456034.5,15,2456038.5,9
GA,Wayne,31.5495,-81.9962,1.01,5.0,Debris Burning,2451935.5,15,2451935.5,15
MS,HARRISON,30.57962026,-89.33526417,10.0,5.0,Debris Burning,2457074.5,14,2457074.5,16
SC,Edgefield County,33.937958,-81.928596,0.2,5.0,Debris Burning,2455611.5,18,2455611.5,19
CO,057,40.72472222,-106.59277778,0.1,1.0,Lightning,2456490.5,16,2456490.5,21
MS,Tallahatchie,34.10244594,-89.96013549,5.0,7.0,Arson,2451439.5,13,2451439.5,16
GA,Heard,33.2302,-84.9548,1.79,8.0,Children,2451681.5,18,2451681.5,18
OK,40,34.64715,-94.84905,185.0,9.0,Miscellaneous,2457249.5,8,2457250.5,3
AL,Houston,31.142453000000003,-85.240188,10.0,7.0,Arson,2453620.5,3,2453620.5,8
TN,SCOTT,36.360633,-84.375,20.0,7.0,Arson,2456391.5,15,2456391.5,19
NV,Eureka,39.816,-115.8781,35.0,1.0,Lightning,2452093.5,14,2452093.5,18
AR,047,35.65638889,-93.90888889,29.0,1.0,Lightning,2456076.5,18,2456079.5,10
TN,GILES,35.206866999999995,-87.1061,0.7,5.0,Debris Burning,2456766.5,14,2456766.5,15
OK,Mayes,36.18694444,-95.21277778,1.5,7.0,Arson,2456143.5,12,2456143.5,13
OK,Pittsburg,35.080278,-95.77972199999999,560.0,13.0,Missing/Undefined,2454890.5,17,2454892.5,13
CA,Placer,39.2084,-120.84071100000001,0.1,4.0,Campfire,2453162.5,12,2453162.5,12
GA,Treutlen            ,32.36843889,-82.61302222,26.26,5.0,Debris Burning,2456682.5,13,2456682.5,15
SC,Pickens County,34.949951,-82.784706,1.5,3.0,Smoking,2456368.5,16,2456368.5,18
NY,SARATOGA,42.86233101,-73.775355,0.1,2.0,Equipment Use,2453594.5,15,2453594.5,15
CO,Moffat,40.6311,-108.6176,0.1,1.0,Lightning,2451419.5,13,2451419.5,16
GA,Coweta,33.4872,-84.6497,2.5,7.0,Arson,2452017.5,9,2452017.5,9
TN,MCNAIRY,35.046883,-88.39729,3.0,7.0,Arson,2454328.5,11,2454328.5,14
GA,McDuffie            ,33.39902778,-82.42261111,1.5,5.0,Debris Burning,2456728.5,19,2456728.5,20
WA,Stevens C,48.4661,-118.0402,0.1,12.0,Structure,2454726.5,14,2454783.5,11
MS,Perry,31.35886607,-88.92818064,1.0,7.0,Arson,2449053.5,20,2449053.5,21
CA,NAPA,38.3454,-122.327233,0.1,13.0,Missing/Undefined,2456434.5,10,2456434.5,10
GA,Irwin,31.4813,-83.1334,1.74,5.0,Debris Burning,2451577.5,16,2451577.5,16
NY,WESTCHESTER,41.143,-73.861,0.1,9.0,Miscellaneous,2455963.5,18,2455963.5,18
FL,Miami-Dade,25.7006,-80.3121,8.0,7.0,Arson,2456337.5,13,2456337.5,16
CA,Riverside,33.670196999999995,-117.305072,0.1,9.0,Miscellaneous,2454162.5,10,2454162.5,10
ID,Ada,43.2631,-116.1814,0.6,7.0,Arson,2455737.5,11,2455737.5,12
GA,295,34.66666667,-85.11666667,0.1,3.0,Smoking,2451602.5,13,2451602.5,15
TN,107,35.30111111,-84.49055556,0.75,5.0,Debris Burning,2454550.5,17,2454550.5,20
OR,23,44.96833333,-119.01666667,4.0,3.0,Smoking,2451056.5,12,2451056.5,22
SC,Lancaster County,34.610252,-80.702423,0.5,5.0,Debris Burning,2456365.5,17,2456365.5,18
NY,WARREN,43.31950003,-73.72998838,0.83,9.0,Miscellaneous,2452499.5,11,2452499.5,11
NC,Rockingham,36.54055,-79.80633333,0.1,2.0,Equipment Use,2456855.5,14,2456855.5,14
NC,Camden,36.3693,-76.17876666,2.0,5.0,Debris Burning,2456711.5,14,2456711.5,15
AR,POPE,35.3807,-92.984,4.0,5.0,Debris Burning,2456747.5,13,2456747.5,14
AZ,5,35.27333333,-112.17972222,3.5,6.0,Railroad,2454228.5,14,2454229.5,12
MT,89,47.5675,-115.4575,5.2,1.0,Lightning,2452840.5,14,2452845.5,18
ID,Ada,43.18779,-116.02237,0.1,2.0,Equipment Use,2457125.5,15,2457125.5,16
SC,Greenville County,34.515568,-82.330833,0.5,5.0,Debris Burning,2455975.5,19,2455975.5,21
GA,Banks,34.2411,-83.4339,0.74,5.0,Debris Burning,2452020.5,15,2452020.5,15
CA,Placer,39.1336,-120.8014,0.1,1.0,Lightning,2453640.5,8,2453640.5,16
FL,Santa Rosa,30.7881,-86.9552,0.2,5.0,Debris Burning,2456693.5,15,2456693.5,15
GA,Lowndes,30.75504722,-83.30322778,0.5,5.0,Debris Burning,2456318.5,21,2456318.5,22
NY,Suffolk,40.8329,-73.0299,0.1,9.0,Miscellaneous,2457335.5,15,2457335.5,15
GA,Randolph,31.6703,-84.7188,22.6,5.0,Debris Burning,2451698.5,13,2451698.5,13
NY,SUFFOLK,40.8814,-73.0691,1.0,9.0,Miscellaneous,2457208.5,21,2457208.5,22
GA,Twiggs              ,32.84555556,-83.45672222,0.9,5.0,Debris Burning,2456697.5,14,2456697.5,15
GA,Decatur             ,30.9332,-84.6733,0.24,9.0,Miscellaneous,2448748.5,11,2448748.5,12
NY,ERIE,42.88703204,-78.87859949,4.25,3.0,Smoking,2453475.5,14,2453475.5,14
WI,Bayfield,46.64273905,-91.46634277,0.4,5.0,Debris Burning,2450201.5,17,2450201.5,18
WI,Marinette,45.44679,-88.00591,0.4,4.0,Campfire,2456787.5,13,2456787.5,14
CA,107,35.80305556,-118.45166667,0.1,5.0,Debris Burning,2456111.5,7,2456111.5,9
FL,Escambia,30.980999999999998,-87.273,9.0,9.0,Miscellaneous,2455545.5,12,2455545.5,12
GA,Laurens,32.44608656,-82.75593008,9.8,5.0,Debris Burning,2456075.5,16,2456075.5,18
OR,61,45.72277778,-118.03777778,0.1,1.0,Lightning,2454686.5,18,2454687.5,15
MO,Jefferson,38.204388,-90.619045,1.0,9.0,Miscellaneous,2456763.5,16,2456763.5,17
WA,47,48.58583333,-120.32277778,0.1,1.0,Lightning,2452465.5,12,2452465.5,19
NC,Person,36.33333333,-78.91666667,5.0,13.0,Missing/Undefined,2455606.5,13,2455606.5,14
MS,Lowndes,33.45475519,-88.39026205,18.0,7.0,Arson,2451106.5,13,2451106.5,15
AZ,7,34.31638889,-111.16444444,0.4,1.0,Lightning,2453227.5,12,2453227.5,18
ID,33,44.39444444,-112.70888889,0.1,1.0,Lightning,2454649.5,16,2454649.5,20
WV,Morgan,39.54885606,-78.26851163,7.0,7.0,Arson,2453641.5,16,2453641.5,16
FL,23,30.21,-82.50666667,3.0,1.0,Lightning,2451712.5,18,2451712.5,20
AZ,Maricopa,33.6655,-112.0821,0.1,13.0,Missing/Undefined,2456760.5,17,2456760.5,17
GA,Camden              ,31.0009,-81.7192,0.04,2.0,Equipment Use,2448968.5,12,2448968.5,13
SC,Dorchester County,33.236965000000005,-80.389496,3.0,5.0,Debris Burning,2457236.5,15,2457236.5,17
MS,Grenada,33.72995533,-89.80248964,1.0,5.0,Debris Burning,2450050.5,13,2450050.5,14
GA,Camden,30.7952,-81.6611,0.06,5.0,Debris Burning,2451895.5,11,2451895.5,11
GA,Dade                ,34.9787,-85.4297,0.46,7.0,Arson,2449411.5,18,2449411.5,18
CA,STANISLAUS,37.397417,-121.13845,0.15,9.0,Miscellaneous,2456783.5,5,2456783.5,5
GA,Greene              ,33.5382,-83.0762,0.1,2.0,Equipment Use,2449817.5,8,2449817.5,8
NC,Scotland,34.83,-79.395,1.5,13.0,Missing/Undefined,2455635.5,15,2455635.5,16
NY,ESSEX,44.2908,-74.0465,1.0,9.0,Miscellaneous,2457140.5,20,2457140.5,21
CA,RIVERSIDE,33.779317,-117.23691699999999,10.0,13.0,Missing/Undefined,2456487.5,12,2456487.5,13
AZ,Pinal,32.77205423,-111.00354507,0.1,3.0,Smoking,2449415.5,17,2449415.5,18
WI,Florence,45.90003377,-88.14838256,0.01,5.0,Debris Burning,2450208.5,12,2450208.5,12
GA,Brooks              ,30.71,-83.5181,0.2,5.0,Debris Burning,2450373.5,13,2450373.5,14
GA,Upson               ,32.8529,-84.4221,0.11,2.0,Equipment Use,2449425.5,12,2449427.5,12
PA,ARMSTRONG,40.68639,-79.52333,2.0,5.0,Debris Burning,2456417.5,15,2456417.5,15
MS,Stone,30.87495809,-89.20359091,1.0,7.0,Arson,2450361.5,2,2450361.5,3
CA,17,38.82944444,-120.21805556,0.1,4.0,Campfire,2453981.5,14,2453981.5,17
MN,Carlton,46.46702157,-92.83841661,0.1,3.0,Smoking,2457130.5,16,2457130.5,17
OR,Wasco,45.02035,-120.561,15.0,1.0,Lightning,2451766.5,17,2451767.5,18
CA,HUMBOLDT,40.635,-123.943,0.5,9.0,Miscellaneous,2457243.5,17,2457243.5,19
MS,153,31.51138889,-88.91944444,17.0,9.0,Miscellaneous,2453798.5,16,2453798.5,18
AL,Covington,31.037542300000002,-85.9289577,7.5,9.0,Miscellaneous,2455855.5,14,2455855.5,16
NC,Anson,35.07293333,-80.26878333,0.2,2.0,Equipment Use,2456772.5,16,2456772.5,16
AR,MILLER,33.38001,-93.8618,22.0,5.0,Debris Burning,2455640.5,15,2455640.5,18
NC,Davie,35.8008,-80.50401667,0.2,13.0,Missing/Undefined,2455614.5,15,2455614.5,16
MI,Cheboygan,45.60017911,-84.70238382,0.1,1.0,Lightning,2449927.5,9,2449927.5,15
MT,Powder River,45.0047,-105.8628,0.1,1.0,Lightning,2451774.5,19,2451775.5,14
GA,Bulloch             ,32.34873333,-81.80280556,8.0,7.0,Arson,2457061.5,16,2457061.5,18
ID,Bingham,43.2171,-112.0925,696.0,1.0,Lightning,2451751.5,13,2451753.5,18
NY,CHAUTAUQUA,42.28720379999999,-79.66554072,0.1,5.0,Debris Burning,2454295.5,14,2454295.5,14
GA,Turner              ,31.7556,-83.5532,0.56,5.0,Debris Burning,2450542.5,13,2450542.5,13
WA,Island County,47.92955,-122.37428999999999,0.1,4.0,Campfire,2455070.5,21,2455076.5,21
CO,Garfield,39.5821,-107.6325,0.1,1.0,Lightning,2456436.5,12,2456436.5,13
CA,Lassen,40.913567,-120.469467,0.1,1.0,Lightning,2457205.5,17,2457205.5,20
NY,RICHMOND,40.54986804,-74.16748889,0.1,9.0,Miscellaneous,2452768.5,16,2452768.5,16
MT,031,45.46583333,-111.25277778,0.1,4.0,Campfire,2456169.5,9,2456169.5,12
CO,009,37.06666667,-102.5,308.0,1.0,Lightning,2456447.5,17,2456448.5,12
UT,45,40.37916667,-112.5925,0.25,1.0,Lightning,2453939.5,19,2453940.5,15
KY,Lewis,38.58274841,-83.28309631,0.1,4.0,Campfire,2456606.5,15,2456606.5,16
NY,ERIE,42.58781651,-78.98734519,0.1,5.0,Debris Burning,2452966.5,14,2452966.5,14
CO,Montrose,38.315,-108.8982,0.1,1.0,Lightning,2453862.5,17,2453870.5,13
NY,CHAUTAUQUA,42.01659905,-79.47905297,0.38,9.0,Miscellaneous,2454576.5,15,2454576.5,15
CA,SAN LUIS OBISPO,35.518833,-121.035683,2.0,9.0,Miscellaneous,2457164.5,16,2457164.5,18
MS,Attala,33.19872593,-89.48909847,1.0,5.0,Debris Burning,2449802.5,14,2449802.5,15
WY,Carbon,41.8514,-106.62,3.0,6.0,Railroad,2452500.5,17,2452502.5,18
FL,Suwannee,30.0084,-82.9366,0.2,2.0,Equipment Use,2456118.5,16,2456118.5,16
MT,Garfield,46.89463,-107.90633000000001,0.3,1.0,Lightning,2457224.5,12,2457224.5,15
OK,Le Flore,35.16719803,-94.84690093,7.0,13.0,Missing/Undefined,2449959.5,16,2449959.5,18
ID,35,46.65,-115.62166667,0.2,1.0,Lightning,2451017.5,12,2451017.5,18
GA,Tift                ,31.43,-83.5146,0.14,8.0,Children,2450121.5,17,2450121.5,17
FL,Marion,29.10888889,-81.85888889,0.5,9.0,Miscellaneous,2456751.5,13,2456751.5,16
GA,Oglethorpe,33.8296,-83.0173,0.13,9.0,Miscellaneous,2452445.5,18,2452445.5,18
WY,Sweetwater,41.300059999999995,-109.38106,0.1,1.0,Lightning,2455388.5,19,2455389.5,11
NC,Forsyth,36.08803333,-80.05145,0.1,9.0,Miscellaneous,2456688.5,10,2456688.5,10
MS,Holmes,32.97262455,-90.09413016,20.0,7.0,Arson,2449774.5,20,2449774.5,21
OH,145,38.7,-82.71861111,1.0,9.0,Miscellaneous,2454914.5,7,2454914.5,18
GA,Bulloch             ,32.4236,-81.6484,0.11,5.0,Debris Burning,2450244.5,17,2450244.5,18
MI,Grand Traverse,44.72202231,-85.44509090000001,6.8,1.0,Lightning,2448844.5,15,2448847.5,11
AL,Lauderdale,34.778539,-87.773902,2.0,5.0,Debris Burning,2454064.5,20,2454064.5,21
KS,Coffey,38.26674367,-95.92630506,209.3,5.0,Debris Burning,2457111.5,15,2457113.5,16
CA,Lake,39.0476,-122.977539,0.1,2.0,Equipment Use,2452518.5,11,2452518.5,12
NY,NASSAU,40.70016472,-73.44883398,0.1,9.0,Miscellaneous,2454110.5,19,2454110.5,19
UT,Grand,39.3658,-109.2847,3.0,1.0,Lightning,2455807.5,15,2455809.5,13
GA,Stephens,34.5324,-83.2939,0.08,9.0,Miscellaneous,2451605.5,13,2451605.5,13
MS,PERRY,31.36171331,-89.05092812,24.0,8.0,Children,2457067.5,11,2457067.5,14
CA,STANISLAUS,37.64375,-120.589983,8.0,13.0,Missing/Undefined,2456486.5,12,2456486.5,15
MS,Amite,31.12890372,-90.90596371,10.0,5.0,Debris Burning,2448711.5,18,2448711.5,19
CA,071,34.23444444,-116.85388889,0.1,2.0,Equipment Use,2456493.5,15,2456493.5,15
NM,Valencia,34.68782,-106.77363999999999,0.1,1.0,Lightning,2456159.5,18,2456159.5,23
FL,83,29.12194444,-81.64472222,28.0,1.0,Lightning,2454559.5,13,2454563.5,8
OK,McCurtain,34.39770134,-94.53140259999999,1.0,13.0,Missing/Undefined,2449347.5,8,2449347.5,10
WV,Clay,38.44878525,-80.87484471,30.0,7.0,Arson,2451133.5,16,2451134.5,16
CA,MONTEREY,36.799367,-121.721333,0.1,9.0,Miscellaneous,2456478.5,13,2456478.5,13
OK,McCurtain,34.02833333,-94.47683334,45.0,7.0,Arson,2452707.5,20,2452707.5,20
ID,49,46.26777778,-114.56527778,1.0,1.0,Lightning,2452863.5,12,2452932.5,7
KY,235,36.76722222,-84.31666667,230.0,7.0,Arson,2451289.5,16,2451291.5,18
NV,Elko,40.6236,-116.1783,1.0,1.0,Lightning,2452459.5,11,2452459.5,15
NY,RENSSELAER,42.64690433,-73.73290612,0.5,9.0,Miscellaneous,2452845.5,20,2452845.5,20
MI,Montmorency,45.00792639,-84.06324118,1.5,5.0,Debris Burning,2449456.5,15,2449456.5,15
MO,Douglas,36.985716700000005,-92.213383,2.0,5.0,Debris Burning,2455637.5,17,2455637.5,17
SC,Abbeville County,34.267544,-82.590721,0.8,5.0,Debris Burning,2456609.5,18,2456609.5,18
MI,Lake,44.16416667,-85.85916667,0.25,9.0,Miscellaneous,2456788.5,12,2456788.5,14
NC,39,35.21666667,-83.73333333,1.0,5.0,Debris Burning,2453686.5,14,2453686.5,18
IL,Sangamon,39.635892,-89.842603,1.0,2.0,Equipment Use,2456116.5,15,2456116.5,16
OR,Klamath,42.31111,-121.35611000000002,0.1,9.0,Miscellaneous,2457194.5,17,2457197.5,16
CO,13,40.02333333,-105.43166667,0.1,1.0,Lightning,2452490.5,7,2452490.5,12
GA,Carroll             ,33.55479722,-84.98169722,1.5,4.0,Campfire,2456763.5,18,2456763.5,19
AR,PIKE,34.05595,-93.81013,0.1,5.0,Debris Burning,2455698.5,19,2455698.5,21
MT,Lewis and Clark,46.965939,-111.9372,215.0,8.0,Children,2456889.5,12,2456892.5,16
AL,Escambia,31.006269,-87.012691,1.2,7.0,Arson,2453086.5,11,2453086.5,12
CA,93,41.32944444,-122.2625,0.25,4.0,Campfire,2455110.5,7,2455110.5,10
LA,St Helena,30.865470000000002,-90.7553,1.1657,13.0,Missing/Undefined,2457111.5,13,2457111.5,14
NJ,Ocean,40.0393,-74.1598,0.25,4.0,Campfire,2456753.5,18,2456758.5,10
OR,Harney,43.2105,-119.31759699999999,216.0,1.0,Lightning,2456099.5,19,2456101.5,9
MT,63,46.73,-114.34944444,0.1,1.0,Lightning,2454298.5,8,2454301.5,15
KY,Breathitt,37.434540000000005,-83.24566999999999,60.0,5.0,Debris Burning,2456253.5,16,2456254.5,15
NY,SENECA,42.74167492,-76.83353013,1.5,7.0,Arson,2453473.5,19,2453473.5,19
NY,SUFFOLK,40.95006701,-73.06151572,0.1,9.0,Miscellaneous,2455184.5,11,2455184.5,11
SC,Aiken County,33.457115,-81.56398,0.1,2.0,Equipment Use,2456773.5,15,2456773.5,16
GA,Long,31.8751,-81.7734,0.03,7.0,Arson,2452012.5,13,2452012.5,13
MS,Lawrence,31.35968306,-90.07204022,25.0,7.0,Arson,2449752.5,20,2449752.5,22
OR,19,43.66055556,-124.20694444,0.1,4.0,Campfire,2454294.5,9,2454294.5,10
WA,Stevens County,47.9979,-117.6896,6.5,1.0,Lightning,2456120.5,23,2456134.5,17
UT,Grand,39.295,-109.3618,1.0,1.0,Lightning,2453917.5,13,2453922.5,19
WI,Grant,42.98466,-90.74416,43.0,5.0,Debris Burning,2454908.5,15,2454908.5,15
UT,Grand,38.5583,-109.589,0.1,9.0,Miscellaneous,2452432.5,17,2452432.5,18
GA,Treutlen,32.43492926,-82.42930196,1.1,1.0,Lightning,2456002.5,17,2456002.5,18
TN,123,35.3325,-84.21583333,3.0,7.0,Arson,2454247.5,15,2454247.5,19
OR,013,44.281388899999996,-120.00111100000001,0.1,1.0,Lightning,2455419.5,10,2455419.5,13
NY,NIAGARA,43.19804184,-78.97519969999999,0.1,1.0,Lightning,2453218.5,16,2453218.5,16
NM,3,33.93138889,-108.97305556,0.1,1.0,Lightning,2453182.5,16,2453189.5,16
MN,Mahnomen,47.36651459,-95.55433296,0.6,7.0,Arson,2456779.5,17,2456779.5,17
NY,RICHMOND,40.57935597,-74.16965103,0.1,9.0,Miscellaneous,2453499.5,17,2453499.5,17
GA,Jones               ,33.10500278,-83.79216389,1.7,5.0,Debris Burning,2456773.5,15,2456773.5,17
NY,TIOGA,42.091232700000006,-76.19957331,0.5,9.0,Miscellaneous,2452008.5,14,2452008.5,14
OK,Atoka,34.55829976,-95.75140374,1.0,13.0,Missing/Undefined,2449466.5,18,2449466.5,20
GA,Screven             ,32.7492,-81.6054,0.1,5.0,Debris Burning,2450518.5,15,2450518.5,16
NY,WAYNE,43.27668611,-77.27854926,0.1,1.0,Lightning,2455885.5,9,2455885.5,10
KS,Shawnee,39.03,-95.56,0.01,5.0,Debris Burning,2457346.5,21,2457346.5,21
MS,Harrison,30.55400279,-89.29731988,4.0,9.0,Miscellaneous,2450128.5,10,2450128.5,13
NC,Randolph,35.8506,-79.7924,0.1,5.0,Debris Burning,2455293.5,17,2455293.5,17
AR,MONTGOMERY,34.6725,-93.52308000000001,7.0,2.0,Equipment Use,2456085.5,15,2456085.5,16
NC,Catawba,35.64488333,-81.16741666,0.1,5.0,Debris Burning,2456687.5,11,2456687.5,11
GA,Rockdale            ,33.6242,-84.0551,0.3,3.0,Smoking,2450156.5,9,2450156.5,10
GA,Jefferson           ,33.29008333,-82.39744444,0.95,5.0,Debris Burning,2456940.5,15,2456940.5,15
CA,MONTEREY,36.897835,-121.683397,1.0,5.0,Debris Burning,2457108.5,4,2457108.5,5
MN,137,48.31694444,-92.08555556,19.0,1.0,Lightning,2453884.5,15,2453910.5,18
MS,Attala,32.99765301,-89.53813131,2.0,7.0,Arson,2449105.5,13,2449105.5,14
OK,Latimer,34.83369782,-95.06829821,400.0,13.0,Missing/Undefined,2448697.5,18,2448698.5,1
CA,Siskiyou,41.55333333,-123.17888889,5.1,1.0,Lightning,2456881.5,17,2456881.5,19
GA,Tattnall,31.9265,-81.8939,0.07,3.0,Smoking,2451745.5,17,2451745.5,17
CA,SHASTA,40.3797,-122.65125,12.0,9.0,Miscellaneous,2457198.5,9,2457198.5,10
NY,ALBANY,42.60685153,-73.86939777,0.62,9.0,Miscellaneous,2454552.5,12,2454552.5,12
NY,SULLIVAN,41.44696084,-74.78085172,0.59,1.0,Lightning,2454571.5,15,2454571.5,15
ID,79,47.47166667,-116.58666667,0.1,9.0,Miscellaneous,2451330.5,16,2451330.5,18
AL,Conecuh,31.487498,-87.050457,0.5,2.0,Equipment Use,2453828.5,16,2453828.5,17
FL,Hamilton,30.4298,-82.7886,0.5,6.0,Railroad,2455746.5,17,2455746.5,18
AR,FULTON,36.47917,-91.61157,10.0,9.0,Miscellaneous,2456005.5,16,2456005.5,18
MS,Lincoln,31.59612901,-90.32611724,5.0,7.0,Arson,2449946.5,20,2449946.5,22
GA,Greene,33.6582,-83.2006,2.52,5.0,Debris Burning,2452334.5,14,2452334.5,14
OK,Le Flore,35.10929858,-94.91729749,0.2,13.0,Missing/Undefined,2449761.5,16,2449761.5,17
TX,Walker,30.76921667,-95.66723333,4.7,9.0,Miscellaneous,2457040.5,14,2457040.5,16
OK,Pittsburg,34.76120033,-95.69889843,6.0,13.0,Missing/Undefined,2449401.5,16,2449401.5,18
WI,Vilas,46.035759999999996,-89.92218000000001,0.02,10.0,Fireworks,2454968.5,20,2454968.5,20
NY,LEWIS,43.8879,-75.5106,0.1,7.0,Arson,2456044.5,13,2456044.5,13
MS,Smith,31.83368388,-89.39473204,6.0,5.0,Debris Burning,2448663.5,15,2448663.5,17
OK,Pushmataha,34.65633335,-94.99500001,65.0,7.0,Arson,2455622.5,20,2455622.5,20
WA,51,48.2556,-117.2237,0.01,9.0,Miscellaneous,2457220.5,20,2457231.5,13
